Update: 346, Reward_mean: 0.7824358530822504, Loss: [0.24662049114704132]
Update: 347, Reward_mean: 0.5183477549977821, Loss: [0.05609072744846344]
Update: 348, Reward_mean: 0.6674465452134746, Loss: [0.09395630657672882]
Update: 349, Reward_mean: 0.74653348580895, Loss: [0.08124545216560364]
Update: 350, Reward_mean: 0.48216905786130054, Loss: [-0.00083928182721138]
Update: 351, Reward_mean: 0.773801107528091, Loss: [0.10125042498111725]
Update: 352, Reward_mean: 0.8383128799162599, Loss: [0.03688942641019821]
Update: 353, Reward_mean: 0.7552452881423699, Loss: [0.08756107836961746]
Update: 354, Reward_mean: 0.6053242823426126, Loss: [0.03799249231815338]
Update: 355, Reward_mean: 0.6006437326542353, Loss: [-0.019832227379083633]
Update: 356, Reward_mean: 0.6396136602502759, Loss: [0.07332871109247208]
Update: 357, Reward_mean: 0.5640081099084269, Loss: [0.10180328786373138]
Update: 358, Reward_mean: 0.717165667141189, Loss: [0.06352652609348297]
Update: 359, Reward_mean: 0.8491099642598884, Loss: [0.13399887084960938]
Update: 360, Reward_mean: 0.6153636451964651, Loss: [0.14482273161411285]
Update: 361, Reward_mean: 0.6619019490868882, Loss: [0.03914535790681839]
Update: 362, Reward_mean: 0.8272628508706797, Loss: [0.05950097739696503]
Update: 363, Reward_mean: 0.8122703603234079, Loss: [0.04553460329771042]
Update: 364, Reward_mean: 0.5408641820947843, Loss: [0.03648809343576431]
Update: 365, Reward_mean: 0.5257362257690258, Loss: [0.05679772421717644]
Update: 366, Reward_mean: 0.5678294141193927, Loss: [0.08346386253833771]
Update: 367, Reward_mean: 0.6752786186155281, Loss: [0.18892264366149902]
